観測所名称,フリガナ,水系名,河川名,事務所,市町,データ所管,住所,緯度,経度,入力時使用,評価対象
今津,イマヅ,本郷川,本郷川,東部建設事務所,福山市,河川課,福山市今津町字為安２０４３地先,34.462500000000006,133.2486111111111,1,1
大橋,オオハシ,芦田川,才町川,東部建設事務所,福山市,河川課,福山市駅家町大橋,34.53558333333333,133.31472222222223,1,1
新市宮内,シンイチミヤウチ,芦田川,神谷川,東部建設事務所,福山市,河川課,福山市新市町大字宮内２１５５－３,34.565666666666665,133.2775,1,1
沼隈,ヌマクマ,山南川,山南川,東部建設事務所,福山市,河川課,福山市沼隈町大字草深１８８９－６,34.39030555555556,133.31833333333333,1,1
山野,ヤマノ,高梁川,小田川,東部建設事務所,福山市,河川課,福山市山野町山野,34.65402777777778,133.39138888888888,1,1
古市,フルイチ,芦田川,高屋川,東部建設事務所,福山市,河川課,福山市神辺町古市,34.54666666666667,133.3836111111111,1,1
府中砂川,フチュウスナカワ,芦田川,砂川,東部建設事務所,府中市,河川課,府中市元町字松原３４２－１,34.57694444444445,133.23944444444444,1,1
津之郷,ツノゴウ,芦田川,加屋川,東部建設事務所,福山市,河川課,福山市津之郷町津之郷字芹田７９２－２,34.48111111111111,133.31666666666666,1,1
松永,マツナガ,羽原川,羽原川,東部建設事務所,福山市,河川課,福山市神村町７３７,34.45472222222222,133.2513888888889,1,1
手城,テシロ,単独河川,手城川,東部建設事務所,福山市,河川課,福山市春日町７丁目  ４－１,34.509166666666665,133.41305555555556,1,1
服部,ハットリ,芦田川,服部川,東部建設事務所,福山市,河川課,福山市駅家町助元１３２２,34.58277777777778,133.3011111111111,1,1
二森,フタモリ,江の川,上下川,東部建設事務所,府中市,河川課,府中市上下町二森字下陰地２０－１地先,34.70263888888889,133.13694444444442,1,1
西宮,ニシミヤ,西野川,西野川,三原支所,三原市,河川課,三原市西宮一丁目地先,34.40222222222222,133.06694444444443,1,1
柳井橋,ヤナイバシ,藤井川,藤井川,三原支所,尾道市,河川課,尾道市西藤町大字柳井樋ノ詰３０６３－１番地先,34.45363888888889,133.2011111111111,1,1
沼田東,ヌタヒガシ,沼田川,天井川,三原支所,三原市,河川課,三原市沼田東町大字釜山字徳万２０１８－１番地先,34.382111111111115,133.01666666666668,1,1
南方,ミナミカタ,沼田川,梨和川,三原支所,三原市,河川課,三原市本郷町南方字中菅６１９６番地先,34.40544444444444,132.9688888888889,1,1
本郷(三原),ホンゴウ,沼田川,仏通寺川,三原支所,三原市,河川課,三原市本郷町本郷字釣戸樋４０６９－１番地先,34.408138888888885,132.99694444444444,1,1
菅川橋,スゲカワバシ,沼田川,菅川,三原支所,三原市,河川課,三原市本郷町船木字佐用沖２５１３番地先,34.43336111111111,132.97722222222222,1,1
美之郷,ミノゴウ,藤井川,藤井川,三原支所,尾道市,河川課,尾道市美之郷町中野寺前橋西詰,34.44766666666666,133.1577777777778,1,1
中之町,ナカノチョウ,和久原川,和久原川,三原支所,三原市,河川課,三原市中之町４３７６－１,34.40888888888889,133.08472222222224,1,1
椋梨,ムクナシ,沼田川,椋梨川,三原支所,三原市,河川課,三原市大和町椋梨,34.53433333333333,132.87833333333333,1,1
十日市,トウカイチ,江の川,北溝川,北部建設事務所,三次市,河川課,三次市十日市町東4-6-1,34.80138888888889,132.8511111111111,1,1
下志和地,シモシワチ,江の川,板木川,北部建設事務所,三次市,河川課,三次市下志和地町２６５５－１番地地先,34.728722222222224,132.82083333333333,1,1
岡田,オカダ,江の川,馬洗川,北部建設事務所,三次市,河川課,三次市三良坂町岡田７３－１番地地先,34.77027777777778,132.93138888888888,1,1
三玉,ミタマ,江の川,馬洗川,北部建設事務所,三次市,河川課,三次市吉舎町三玉川隅学校橋,34.73388888888889,132.98833333333332,1,1
小田幸,コダコウ,江の川,美波羅川,北部建設事務所,三次市,河川課,三次市小田幸町１３９－１番地地先,34.76133333333333,132.90416666666667,1,1
上壱,カミイチ,江の川,美波羅川,北部建設事務所,三次市,河川課,三次市三和町上壱２７６８－３番地地先,34.650666666666666,132.86222222222221,1,1
和知,ワチ,江の川,国兼川,北部建設事務所,三次市,河川課,三次市和知町２１３６番地地先,34.80933333333333,132.93166666666664,1,1
小文,オブミ,江の川,西城川,北部建設事務所,三次市,河川課,三次市小文町３９－４番地地先,34.83455555555556,132.85416666666666,1,1
藤兼,フジカネ,江の川,神野瀬川,北部建設事務所,三次市,河川課,三次市君田町藤兼南組４０１番地地先,34.85927777777778,132.84583333333333,1,1
下布野,シモフノ,江の川,布野川,北部建設事務所,三次市,河川課,三次市布野町下布野字大伴３７０－１番地地先,34.86497222222222,132.7927777777778,1,1
西城,サイジョウ,江の川,西城川,庄原支所,庄原市,河川課,庄原市西城町中野字亀崎６３１番の１４番地先,34.943305555555554,133.12194444444447,1,1
東城,トウジョウ,高梁川,成羽川,庄原支所,庄原市,河川課,庄原市東城町川西字榎ヶ坪２２６の４番地先,34.88605555555556,133.27666666666667,1,1
戸郷川,トゴウガワ,江の川,戸郷川,庄原支所,庄原市,河川課,庄原市板橋町字西原沖50-1,34.85,133.0013888888889,1,1
比和,ヒワ,江の川,比和川,庄原支所,庄原市,河川課,庄原市比和町比和１１１９の１番地先,34.98308333333333,132.9861111111111,1,1
高,タカ,江の川,西城川,庄原支所,庄原市,河川課,庄原市川西町字中島,34.9,133.06805555555556,1,1
本郷(廿日市),ホンゴウ,小瀬川,小瀬川,廿日市支所,廿日市市,"河川課
ダムG",廿日市市浅原字前中山１１１５番地の３,34.33638888888889,132.1338888888889,1,1
釜ヶ原,カマガハラ,小瀬川,小瀬川,廿日市支所,大竹市,"河川課
ダムG",山口県岩国市美和町釜ヶ原,34.285555555555554,132.1338888888889,1,1
岩倉,イワクラ,小瀬川,小瀬川,廿日市支所,廿日市市,"河川課
ダムG",廿日市市大字津田地内,34.37388888888889,132.15027777777777,1,1
白川,シラコウ,八幡川,八幡川,西部建設事務所,広島市佐伯区,"河川課
ダムG",広島市佐伯区五日市町大字下河内向原1169-3,34.42944444444444,132.30083333333334,1,1
小深川,コフカガワ,八幡川,八幡川,西部建設事務所,広島市佐伯区,"河川課
ダムG",広島市佐伯区五日市町下小深川,34.40416666666667,132.35027777777776,1,1
中地,ナカジ,八幡川,八幡川,西部建設事務所,広島市佐伯区,"河川課
ダムG",広島市佐伯区八幡東,34.38194444444444,132.3511111111111,1,1
市原,イチハラ,野呂川,野呂川,呉支所,呉市,"河川課
ダムG",呉市安浦町大字中畑字打田原甲1470,34.29416666666666,132.7,1,1
藤浪,フジナミ,野呂川,野呂川,呉支所,呉市,"河川課
ダムG",呉市安浦町内海浦尻北,34.28333333333333,132.73333333333332,1,0
和木,ワキ,沼田川,椋梨川,三原支所,三原市,"河川課
ダムG",三原市大和町和木字楽免391,34.51611111111111,132.91666666666666,1,1
奥条,オクジョウ,沼田川,椋梨川,東広島支所,東広島市,"河川課
ダムG",東広島市河内町中河内奥条,34.481388888888894,132.88472222222222,1,1
中河内,ナカゴウチ,沼田川,沼田川,東広島支所,東広島市,"河川課
ダムG",東広島市河内町中河内正尺,34.473888888888894,132.87944444444446,1,1
船木,フナキ,沼田川,沼田川,三原支所,三原市,"河川課
ダムG",三原市本郷町大字船木字中筋,34.42722222222222,132.96694444444444,1,1
七宝,シッポウ,沼田川,沼田川,三原支所,三原市,"河川課
ダムG",三原市沼田東町大字七宝,34.401944444444446,133.01805555555558,1,1
甲山,コウザン,芦田川,芦田川,三原支所,世羅町,農業基盤課,世羅郡世羅町字高野西上原,34.58444444444444,133.05083333333334,1,1
駅前,エキマエ,芦田川,芦田川,三原支所,世羅町,農業基盤課,世羅郡世羅町大字伊尾字三川,34.63,133.10083333333333,1,1
前原,マエバラ,芦田川,芦田川,東部建設事務所,府中市,農業基盤課,府中市父石町下前原,34.559999999999995,133.21666666666667,1,1
七社,ナナヤシロ,芦田川,芦田川,東部建設事務所,福山市,農業基盤課,福山市駅家町下山守378-2,34.525,133.3336111111111,1,1
大谷池,オオタニイケ,芦田川,四川,東部建設事務所,福山市,"河川課
ダムG",福山市加茂町百谷２１９３－１４,34.60888888888889,133.3175,1,1
百谷,モモダニ,芦田川,四川,東部建設事務所,福山市,"河川課
ダムG",福山市加茂町字百谷,34.60444444444445,133.31777777777776,1,1
沼,ヌマ,芦田川,加茂川,東部建設事務所,福山市,"河川課
ダムG",福山市御幸町字下岩成１２２９地先,34.54555555555555,133.33472222222224,1,1
加茂,カモ,芦田川,加茂川,東部建設事務所,福山市,"河川課
ダムG",福山市加茂町芦原字出雲８１５－２の地先,34.58861111111111,133.35055555555556,1,1
種,タネ,芦田川,谷尻川,東部建設事務所,福山市,"河川課
ダムG",福山市加茂町字北山１８９,34.611666666666665,133.3336111111111,1,1
出雲,イズモ,芦田川,四川,東部建設事務所,福山市,"河川課
ダムG",福山市加茂町字芦原字出雲８３８,34.59,133.35055555555556,1,1
丸門田,マルモンデン,芦田川,御調川,三原支所,尾道市,"河川課
ダムG",尾道市御調町大字丸門田字横山,34.49722222222222,133.10083333333333,1,1
市,イチ,芦田川,御調川,三原支所,尾道市,"河川課
ダムG",尾道市御調町大字市字河原,34.51305555555555,133.13416666666666,1,1
伊尾,イオ,芦田川,山田川,三原支所,世羅町,"河川課
ダムG",世羅郡世羅町大字伊尾1382-18,34.62916666666667,133.085,1,1
青近,アオチカ,芦田川,山田川,三原支所,世羅町,"河川課
ダムG",世羅郡世羅町大字青近1439-9,34.636944444444445,133.06805555555556,1,1
上中,カミナカ,八幡川,梶毛川,西部建設事務所,広島市佐伯区,"河川課
ダムG",広島市佐伯区五日市町大字石内３４７０－１地先,34.415,132.36805555555557,1,1
高井,タカイ,八幡川,石内川,西部建設事務所,広島市佐伯区,"河川課
ダムG",広島市佐伯区八幡東４丁目３２－５－６地先,34.3925,132.3513888888889,1,1
今田,イマダ,芦田川,野間川,三原支所,尾道市,"河川課
ダムG",尾道市御調町今田字大通886-3,34.50388888888889,133.08444444444444,1,1
段原(京橋川),ダンバラ,太田川,京橋川,西部建設事務所,広島市南区,河川課,広島市南区段原末広町地先,34.39061111111111,132.4775,1,0
石丸,イシマル,江の川,西城川,庄原支所,庄原市,河川課,庄原市東本町2丁目,34.86361111111111,133.01805555555558,1,0
下金田,シモキンデン,江の川,西城川,庄原支所,庄原市,河川課,庄原市水越町字大貝１３０９－１,34.85722222222223,132.8836111111111,1,0
春日池,カスガイケ,単独河川,手城川,"東部建設
事務所",福山市,河川課,福山市春日町４丁目,34.513333333333335,133.41777777777776,1,0
福川,フクガワ,芦田川,福川,"東部建設
事務所",福山市,河川課,福山市神島町４丁目,34.48416666666667,133.34083333333334,1,0
中洲橋,ナカスバシ,単独河川,岡ノ下川,"西部建設
事務所",広島市佐伯区,河川課,広島市佐伯区五日市中央４丁目７−３４ 地先,34.37388888888889,132.35222222222222,0,0
温品,ヌクシナ,太田川,府中大川,西部建設事務所,広島市東区,河川課,広島県広島市東区温品七丁目,34.41405555555556,132.51091666666667,1,0
三篠橋(国),ミササバシ,太田川,旧太田川,西部建設事務所,広島市中区,国土交通省,広島市中区基町,34.407222222222224,132.45055555555555,1,1
江波(旧太田川)(国),エバ（キュウオオタガワ）,太田川,旧太田川,西部建設事務所,広島市中区,国土交通省,広島市中区江波南,34.361666666666665,132.41805555555555,1,1
古川(国),フルカワ,太田川,古川,西部建設事務所,広島市安佐南区,国土交通省,広島市安佐南区安古市町古市,34.45388888888889,132.46722222222223,1,1
上原橋(国),ウエハラバシ,太田川,根谷川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区可部,34.5125,132.5011111111111,1,1
新川橋(国),シンカワバシ,太田川,根谷川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区可部南,34.507777777777775,132.5013888888889,1,1
白木(国),シラキ,太田川,三篠川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区白木町小越,34.552499999999995,132.65083333333334,1,1
中深川(国),ナカフカワ,太田川,三篠川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区中深川,34.48388888888889,132.51805555555558,1,1
上庄(国),カミジョウ,太田川,三篠川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区深川,34.48972222222222,132.51777777777778,1,1
湯来(国),ユキ,太田川,水内川,西部建設事務所,広島市佐伯区,国土交通省,広島市佐伯区湯来町麦谷,34.52444444444444,132.3013888888889,1,1
土居(国),ドイ,太田川,太田川,安芸太田支所,安芸太田町,国土交通省,山県郡安芸太田町土居,34.57361111111111,132.21805555555557,1,1
加計(国),カケ,太田川,太田川,安芸太田支所,安芸太田町,国土交通省,山県郡安芸太田町中ノ渡,34.60888888888889,132.31694444444443,1,1
飯室(国),イムロ,太田川,太田川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区安佐町毛木,34.53527777777778,132.43333333333334,1,1
中野(国),ナカノ,太田川,太田川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区可部,34.50888888888889,132.50083333333333,1,1
玖村(国),クムラ,太田川,太田川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区落合,34.48416666666667,132.50083333333333,1,1
矢口第二(国),ヤグチダイニ,太田川,太田川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区口田,34.471111111111114,132.48444444444442,1,1
矢口第一(国),ヤグチダイイチ,太田川,太田川,西部建設事務所,広島市安佐北区,国土交通省,広島市安佐北区口田,34.461666666666666,132.48416666666665,1,1
長和久(国),ナガワク,太田川,太田川,西部建設事務所,広島市安佐南区,国土交通省,広島市安佐南区長束,34.42638888888889,132.4511111111111,1,1
祇園大橋(国),ギオンオオハシ,太田川,太田川,西部建設事務所,広島市西区,国土交通省,広島市西区大宮,34.42388888888889,132.45083333333332,1,1
草津(国),クサツ,太田川,"太田川
放水路",西部建設事務所,広島市西区,国土交通省,広島市西区草津港,34.36277777777778,132.40027777777777,1,1
小川津(国),オガワヅ,小瀬川,小瀬川,廿日市支所,大竹市,国土交通省,山口県岩国市小瀬字小川津,34.228611111111114,132.1675,1,0
両国橋(国),リョウゴクバシ,小瀬川,小瀬川,廿日市支所,大竹市,国土交通省,山口県岩国市小瀬墨屋堂,34.209722222222226,132.18444444444444,1,0
和木(国),ワキ,小瀬川,小瀬川,廿日市支所,大竹市,国土交通省,山口県玖珂郡和木町和木,34.20805555555556,132.23416666666665,1,0
黒滝(国),クロタキ,太田川,滝山川,安芸太田支所,安芸太田町,国ダム,山県郡安芸太田町大字向山字黒滝地内,34.66833333333333,132.28472222222223,1,1
滝山(国),タキヤマ,太田川,滝山川,安芸太田支所,安芸太田町,国ダム,山県郡安芸太田町加計大字加計字八幡,34.62361111111111,132.31666666666666,1,1
後平(国),ウシロビラ,太田川,滝山川,安芸太田支所,安芸太田町,国ダム,山県郡安芸太田町加計大字加計字大平,34.625277777777775,132.3,1,1
下ヶ原(国),シモガハラ,小瀬川,小瀬川,廿日市支所,大竹市,国ダム,大竹市大栗林下ヶ原,34.275,132.13333333333333,1,1
防鹿(国),ボウロク,小瀬川,小瀬川,廿日市支所,大竹市,国ダム,大竹市小方町防鹿,34.22638888888889,132.18472222222223,1,1
山手(国),ヤマテ,芦田川,芦田川,東部建設事務所,福山市,国土交通省,福山市山手町,34.49333333333333,133.3338888888889,1,1
府中(国),フチュウ,芦田川,芦田川,東部建設事務所,府中市,国土交通省,府中市府川町,34.564166666666665,133.2336111111111,1,1
郷分(国),ゴウブン,芦田川,芦田川,東部建設事務所,福山市,国土交通省,福山市御幸町大字中津原字下組,34.52194444444444,133.35027777777776,1,1
上戸手(国),カミトデ,芦田川,芦田川,東部建設事務所,福山市,国土交通省,福山市新市町上戸手,34.54388888888889,133.2836111111111,1,1
矢野原(国),ヤノハラ,芦田川,芦田川,東部建設事務所,府中市,国土交通省,府中市河佐町大字矢野原,34.59916666666667,133.1836111111111,1,1
御幸(国),ミユキ,芦田川,高屋川,東部建設事務所,福山市,国土交通省,福山市御幸町中津原地先,34.52027777777778,133.35055555555556,1,1
神辺(国),カンナベ,芦田川,高屋川,東部建設事務所,福山市,国土交通省,福山市神辺町大字上御領,34.573888888888895,133.41666666666666,1,1
西神島(国),ニシカシマ,芦田川,瀬戸川,東部建設事務所,福山市,国土交通省,福山市西神島町新町,34.48361111111111,133.3338888888889,1,1
新市(国),シンイチ,芦田川,神谷川,東部建設事務所,福山市,国土交通省,福山市新市町新市,34.55472222222222,133.2675,1,1
山手左岸(国),ヤマテサガン,芦田川,芦田川,東部建設事務所,福山市,国土交通省,福山市山手町官有無番地,34.49333333333333,133.3338888888889,1,1
掛ノ橋(国),カケノハシ,芦田川,高屋川,東部建設事務所,福山市,国土交通省,福山市神辺町領家,34.53777777777778,133.33333333333334,1,0
伊尾(国),イオ,芦田川,芦田川,三原支所,世羅町,国ダム,世羅郡世羅町大字伊尾,34.62916666666667,133.10083333333333,1,1
永野山(国),ナガノヤマ,芦田川,芦田川,東部建設事務所,府中市,国ダム,府中市久佐町字ツカ丸,34.59111111111111,133.15,1,1
山守橋(国),ヤマモリバシ,芦田川,芦田川,東部建設事務所,福山市,国ダム,福山市駅家町上山守地先,34.530277777777776,133.31805555555556,1,1
宇津戸川(国),ウヅトガワ,芦田川,宇津戸川,三原支所,世羅町,国ダム,世羅郡世羅町大字宇津戸字田原,34.568333333333335,133.11777777777777,1,1
矢多田川(国),ヤタダガワ,芦田川,矢多田川,三原支所,世羅町,国ダム,世羅郡世羅町伊尾字清信,34.63527777777778,133.10083333333333,1,1
粟屋(国),アワヤ,江の川,江の川,北部建設事務所,三次市,国土交通省,三次市粟屋中野,34.79111111111111,132.81805555555556,1,1
尾関山(国),オゼキヤマ,江の川,江の川,北部建設事務所,三次市,国土交通省,三次市三次町五日市,34.81166666666666,132.8338888888889,1,1
大津(国),オオツ,江の川,江の川,北部建設事務所,三次市,国土交通省,島根県邑智郡邑南町下口羽,34.88805555555555,132.66777777777776,1,1
計納(国),トノ,江の川,上下川,北部建設事務所,三次市,国土交通省,三次市三良坂町仁賀計納,34.79055555555556,132.98333333333332,1,1
南畑敷(国),ミナミハタシキ,江の川,馬洗川,北部建設事務所,三次市,国土交通省,三次市南畑敷町,34.80277777777778,132.86805555555557,1,1
神野瀬川(国),カンノセガワ,江の川,神野瀬川,北部建設事務所,三次市,国土交通省,三次市三原町中三原,34.830000000000005,132.80055555555558,1,1
三次(国),ミヨシ,江の川,西城川,北部建設事務所,三次市,国土交通省,三次市三次町太才,34.816944444444445,132.83444444444444,1,1
庄原(国),ショウバラ,江の川,西城川,庄原支所,庄原市,国土交通省,庄原市本町柳,34.863055555555555,133.0011111111111,1,1
吉田(国),ヨシダ,江の川,江の川,西部建設事務所,安芸高田市,国土交通省,安芸高田市吉田町内堀,34.665277777777774,132.70138888888889,1,1
竹の花(国),タケノハナ,江の川,田総川,庄原支所,庄原市,国土交通省,庄原市総領町稲草,34.78,133.03416666666666,1,1
上安田(国),カミヤスダ,江の川,上下川,北部建設事務所,三次市,国土交通省,三次市吉舎町上安田下郷,34.74666666666667,133.03333333333333,1,1
市場(国),イチバ,江の川,上下川,北部建設事務所,三次市,国土交通省,三次市三良坂町仁賀,34.78611111111111,132.96805555555557,1,1
上川立(国),カミカワタチ,江の川,江の川,北部建設事務所,三次市,国土交通省,三次市上川立町,34.72416666666667,132.78333333333333,1,0
川井(国),カワイ,江の川,江の川,安芸太田支所,北広島町,国ダム,山県郡北広島町川井,34.677499999999995,132.56694444444443,1,1
下土師(国),シモハジ,江の川,江の川,西部建設事務所,安芸高田市,国ダム,安芸高田市八千代町下土師,34.64055555555556,132.61694444444444,1,1
