観測所名称,フリガナ,市町,水系名,河川名,データ所管,住所,緯度,経度,事務所,入力時使用
桑田,クワタ,安芸高田市,江の川,桑田川,砂防課,安芸高田市美土里町桑田字大谷３１－１,34.75802777777778,132.60916666666665,,1
奥畑,オクハタ,広島市安佐南区,太田川,奥畑川,砂防課,広島市安佐南区沼田町大字伴奥畑地先,34.45861111111111,132.3675,,1
五月が丘,サツキガオカ,広島市佐伯区,八幡川,石内川,砂防課,広島市佐伯区五月が丘２丁目２３－１,34.42016666666667,132.405,,1
五日市観音,イツカイチカンノン,広島市佐伯区,単独河川,岡ノ下川,砂防課,広島市佐伯区坪井３丁目８８,34.37916666666667,132.3388888888889,,1
井口台,イノクチダイ,広島市西区,その他,沿岸部,砂防課,広島市西区井口台３丁目５－１,34.379583333333336,132.38111111111112,,1
牛田早稲田,ウシタワセダ,広島市東区,太田川,二又川,砂防課,広島市東区牛田早稲田４丁目９－１,34.418527777777776,132.48083333333332,,1
祇園山本,ギオンヤマモト,広島市安佐南区,太田川,東山本川,砂防課,広島市安佐南区山本町方置山１５１４－１地先,34.44555555555555,132.4338888888889,,1
大柿町,オオガキチョウ,江田島市,その他,沿岸部,河川課,江田島市大柿町大原１２７４－３,34.172777777777775,132.4511111111111,,1
秋月,アキヅキ,江田島市,その他,沿岸部,砂防課,江田島市江田島町秋月二丁目５２７２－３,34.22830555555556,132.4911111111111,,1
中町,ナカマチ,江田島市,その他,沿岸部,砂防課,江田島市能美町中町２３３２,34.22108333333333,132.43861111111113,,1
菅沢,スガサワ,広島市佐伯区,太田川,水内川,砂防課,広島市佐伯区湯来町大字菅沢字向志割５３１番地地先,34.48097222222222,132.25861111111112,,1
瀬戸内ハイツ,セトウチハイツ,広島市安佐南区,太田川,安川,河川課,安佐南区沼田町伴瀬戸内第３公園内,34.474444444444444,132.41694444444443,,1
杉並台,スギナミダイ,広島市佐伯区,八幡川,八幡川,砂防課,広島市佐伯区杉並台６４－１８,34.431999999999995,132.30027777777778,,1
高祖,コウソ,江田島市,その他,沿岸部,砂防課,江田島市沖美町高祖１０９－４９,34.25961111111111,132.40083333333334,,1
蒲刈大浦,カマガリオオウラ,呉市,その他,沿岸部,砂防課,呉市蒲刈町大浦１３４７,34.17783333333333,132.74888888888887,,1
豊島,トヨシマ,呉市,その他,沿岸部,砂防課,呉市豊浜町大字豊島３６９０,34.17461111111111,132.79638888888888,,1
内海,ウチノウミ,呉市,野呂川,中畑川,砂防課,呉市安浦町大字内海１３１,34.28183333333333,132.7408333333333,,1
呉支所,クレシショ,呉市,二賀川,二河川,河川課,呉市西中央１－３－２５　西部建設事務所呉支所内,34.246944444444445,132.55055555555558,,1
蒲刈町,カマガリチョウ,呉市,その他,沿岸部,河川課,呉市蒲刈町宮盛１－２,34.197222222222216,132.71805555555557,,1
焼山,ヤケヤマ,呉市,二賀川,二河川,砂防課,呉市焼山宮ヶ迫１丁目３－１,34.298138888888886,132.5536111111111,,1
郷原,ゴウハラ,呉市,黒瀬川,長谷川,砂防課,呉市郷原町１５８４番地の１,34.30019444444444,132.63472222222222,,1
呉,クレ,呉市,堺川,堺川,砂防課,呉市東畑２丁目７－３８,34.25383333333333,132.58694444444444,,1
広,ヒロ,呉市,黒瀬川,黒瀬川,砂防課,呉市広中迫町４の１,34.246694444444444,132.62916666666666,,1
小坪,コツボ,呉市,その他,沿岸部,砂防課,呉市広小坪一丁目２４－１,34.20791666666667,132.6338888888889,,1
仁方,ニガタ,呉市,その他,沿岸部,砂防課,呉市仁方本町一丁目６－６,34.22266666666667,132.65305555555557,,1
警固屋,ケゴヤ,呉市,その他,沿岸部,砂防課,呉市見晴一丁目,34.2,132.53444444444443,,1
波多見,ハタミ,呉市,その他,沿岸部,砂防課,呉市音戸町波多見９－１１－１,34.175777777777775,132.54611111111112,,1
宇和木,ウワギ,呉市,その他,沿岸部,砂防課,呉市倉橋町５９２６－２,34.12916666666667,132.48472222222222,,1
田戸,タド,呉市,その他,沿岸部,砂防課,呉市蒲刈町田戸大字十年,34.19758333333333,132.72472222222223,,1
下蒲刈,シモカマガリ,呉市,その他,沿岸部,砂防課,呉市下蒲刈町下島２１１９,34.19308333333333,132.67749999999998,,1
大長,オオチョウ,呉市,その他,沿岸部,砂防課,呉市豊町大長６８１５－２,34.18586111111111,132.85472222222222,,1
川尻,カワジリ,呉市,その他,沿岸部,砂防課,呉市川尻町原山二丁目５４５０－４,34.241,132.68333333333334,,1
斎島,イツキシマ,呉市,その他,沿岸部,砂防課,呉市豊浜町斎島,34.11902777777778,132.79305555555555,,1
尾曽郷,オソゴウ,呉市,その他,沿岸部,砂防課,呉市倉橋町尾曽郷,34.093250000000005,132.49916666666667,,1
室尾,ムロオ,呉市,その他,沿岸部,砂防課,呉市倉橋町１１１６－１,34.1,132.5402777777778,,1
天応,テンノウ,呉市,その他,沿岸部,砂防課,呉市天応大浜二丁目１－６４,34.28755555555556,132.51555555555555,,1
田原,タハラ,呉市,その他,沿岸部,砂防課,呉市音戸町渡子３－１６－１,34.18655555555555,132.50722222222223,,1
原,ハラ,廿日市市,単独河川,可愛川,砂防課,廿日市市原４３９－２,34.36991666666667,132.3052777777778,,1
廿日市支所,ハツカイチシショ,廿日市市,その他,沿岸部,河川課,廿日市市桜尾本町１１－１　西部建設事務所廿日市支所内,34.35727777777778,132.34305555555557,,1
大野,オオノ,廿日市市,その他,沿岸部,河川課,廿日市市大野１－１－１　廿日市市役所大野支所内,34.28666666666666,132.2675,,1
吉和,ヨシワ,廿日市市,太田川,太田川,河川課,廿日市市吉和花原女鹿平８０２－２,34.4825,132.13333333333333,,1
馬の口,ウマノクチ,廿日市市,その他,沿岸部,砂防課,廿日市市大野町字馬の口２６４５－１,34.302305555555556,132.23472222222222,,1
栗谷,クリタニ,大竹市,小瀬川,玖島川,砂防課,大竹市栗谷町小栗林字大木場２１７,34.308638888888886,132.15722222222223,,1
大竹市,オオタケシ,大竹市,その他,沿岸部,砂防課,大竹市小方一丁目１１－１,34.237972222222226,132.22194444444446,,1
宮島町,ミヤジマチョウ,廿日市市,その他,沿岸部,砂防課,廿日市市宮島町１１７０－２,34.29611111111111,132.3011111111111,,1
浅原,アサハラ,廿日市市,小瀬川,小瀬川,砂防課,廿日市市浅原２６６２－３,34.34330555555556,132.13666666666666,,1
友和,ユウワ,廿日市市,小瀬川,玖島川,砂防課,廿日市市友田１９,34.35866666666667,132.2263888888889,,1
佐伯,サエキ,廿日市市,小瀬川,林川,砂防課,廿日市市津田１９８９,34.3675,132.16777777777776,,1
玖島,クジマ,廿日市市,小瀬川,玖島川,砂防課,廿日市市玖島４３２３,34.39111111111111,132.25,,1
安芸太田支所,アキオオタシショ,安芸太田町,太田川,丁川,河川課,山県郡安芸太田町大字加計３０８７　西部建設事務所安芸太田支所内,34.61194444444445,132.3175,,1
芸北,ゲイホク,北広島町,太田川,滝山川,河川課,山県郡北広島町南門原葉山３８－２,34.75666666666667,132.26777777777778,,1
杉ノ泊,スギノトマリ,安芸太田町,太田川,太田川,砂防課,山県郡安芸太田町大字下殿河内字南山２２７番地の１,34.615972222222226,132.27416666666667,,1
江河内,エゴウチ,安芸太田町,太田川,太田川,砂防課,山県郡安芸太田町大字下殿河内３２２４番地の１,34.590500000000006,132.2838888888889,,1
水谷,ミズタニ,安芸太田町,太田川,丁川,砂防課,山県郡安芸太田町大字加計字水谷５８０番地の１,34.61225,132.3536111111111,,1
黒峠,クロダオ,安芸太田町,太田川,西宗川,砂防課,山県郡安芸太田町大字穴字黒峠５９１番地の１,34.56927777777778,132.3661111111111,,1
猪山,イノシヤマ,安芸太田町,太田川,太田川,砂防課,山県郡安芸太田町大字猪山６５８－５,34.661944444444444,132.31,,1
高野,タカノ,北広島町,太田川,高野川,砂防課,山県郡北広島町高野字毛地１９７－１０,34.758583333333334,132.3777777777778,,1
二川,フタゴウ,北広島町,太田川,柴木川,砂防課,山県郡北広島町東八幡原字二川５－１,34.717777777777776,132.19694444444445,,1
川小田,カワコダ,北広島町,太田川,滝山川,砂防課,山県郡北広島町川小田字出賀原９０５－６,34.7325,132.2861111111111,,1
大塚,オオツカ,北広島町,江の川,大塚川,砂防課,山県郡北広島町大塚字岩崎２２５３－１,34.78019444444444,132.4463888888889,,1
川戸,カワド,北広島町,江の川,江の川,砂防課,山県郡北広島町川戸字辻田２５６７,34.73252777777778,132.51666666666668,,1
新都,シント,北広島町,江の川,冠川,砂防課,山県郡北広島町新都２２７－２４,34.65691666666667,132.50694444444446,,1
中原,ナカバラ,北広島町,太田川,西宗川,砂防課,山県郡北広島町中原字湯川谷１４００－１,34.68102777777778,132.42,,1
吉木,ヨシキ,北広島町,太田川,吉木川,砂防課,山県郡北広島町吉木字大坪２４４４－３,34.62675,132.4336111111111,,1
中ノ原,ナカノハラ,安芸太田町,太田川,太田川,砂防課,山県郡安芸太田町中ノ原地先,34.562777777777775,132.3038888888889,,1
布原,ヌノハラ,安芸太田町,太田川,筒賀川,砂防課,山県郡安芸太田町大字上筒賀布原地先,34.53616666666667,132.19666666666666,,1
新庄,シンジョウ,竹原市,賀茂川,賀茂川,砂防課,竹原市新庄町町田１９８１－２,34.38422222222222,132.8838888888889,,1
黒瀬町,クロセチョウ,東広島市,黒瀬川,神洗川,河川課,東広島市黒瀬町字丸山１３３３　東広島市役所黒瀬支所内,34.324444444444445,132.6675,,1
河内,コウチ,東広島市,沼田川,椋梨川,河川課,東広島市河内町大字中河内字室木１３１８,34.471944444444446,132.88416666666666,,1
高美が丘,タカミガオカ,東広島市,沼田川,胡麻川,砂防課,東広島市高屋高美が丘一丁目,34.45738888888889,132.79222222222222,,1
郷曽,ゴウソ,東広島市,黒瀬川,黒瀬川,砂防課,東広島市西条町郷曽今田,34.38227777777778,132.72083333333333,,1
久芳,クバ,東広島市,沼田川,谷河内川,砂防課,東広島市福富町久芳金口１５３９－３,34.53583333333333,132.77861111111113,,1
吉原,ヨシワラ,東広島市,江の川,敷地川,砂防課,東広島市豊栄町吉原兼石１０９４番地先,34.602916666666665,132.85277777777776,,1
田万里,タマリ,竹原市,賀茂川,田万里川,砂防課,竹原市田万里町１２４１番地,34.40863888888889,132.8388888888889,,1
小梨,オナシ,竹原市,沼田川,尾原川,砂防課,竹原市小梨町字横走１８８７－２,34.370472222222226,132.91416666666666,,1
東広島支所,ヒガシヒロシマシショ,東広島市,黒瀬川,半尾川,河川課,東広島市西条昭和町１３－１０　西部建設事務所東広島支所内,34.42527777777777,132.73416666666665,,1
志和東,シワヒガシ,東広島市,太田川,東川,砂防課,東広島市志和町志和東六日市８１０－１番地先,34.488083333333336,132.67694444444444,,1
下三永,シモミナガ,東広島市,黒瀬川,三永川,河川課,東広島市西条町大字下三永,34.39694444444444,132.76666666666668,,1
吉川,ヨシカワ,東広島市,黒瀬川,古河川,河川課,東広島市八本松町大字吉川,34.39694444444444,132.6675,,1
篠,ササ,東広島市,黒瀬川,黒瀬川,河川課,東広島市八本松町大字篠地内,34.476111111111116,132.71722222222223,,1
三津,ミツ,東広島市,単独河川,三津大川,河川課,東広島市安芸津町大字三津２６３５地先,34.32916666666667,132.81666666666666,,1
大崎町,オオサキチョウ,大崎上島町,その他,沿岸部,河川課,豊田郡大崎上島町中野２０６７－１　大崎上島町役場大崎支所,34.24194444444444,132.8838888888889,,1
上組,カミグミ,大崎上島町,その他,沿岸部,砂防課,豊田郡大崎上島町東野下中垣内３４２４，３４２５番地,34.25763888888889,132.91611111111112,,1
岩伏,イワブシ,東広島市,単独河川,三津大川,砂防課,東広島市安芸津町岩伏,34.35786111111111,132.81555555555556,,1
明石,アカシ,大崎上島町,その他,沿岸部,砂防課,豊田郡大崎上島町沖浦字水野元１２７番地,34.20997222222223,132.88416666666666,,1
竹原,タケハラ,竹原市,賀茂川,賀茂川,河川課,竹原市竹原町吉崎,34.33527777777778,132.9,,1
仁賀ダム,ニカダム,竹原市,賀茂川,賀茂川,"河川課
ダムG",竹原市仁賀町,34.37694444444445,132.83416666666668,,1
東部建設,トウブケンセツ,福山市,その他,沿岸部,河川課,福山市三吉町１－１－１　東部建設事務所内,34.49388888888889,133.36722222222224,,1
上安井,カミヤスイ,福山市,芦田川,神谷川,河川課,福山市新市町大字上安井２－４地先,34.588055555555556,133.26666666666668,,1
加茂,カモ,福山市,芦田川,加茂川,河川課,福山市加茂町芦原字出雲８１５－２地先,34.58861111111111,133.35055555555556,,1
沼隈町,ヌマクマチョウ,福山市,山南川,山南川,河川課,福山市沼隈町大字草深１８８９－６,34.390277777777776,133.31666666666666,,1
井関,イゼキ,神石高原町,芦田川,父尾川,河川課,神石郡神石高原町大字坂ノ瀬川１１２４－１地先,34.68,133.29749999999999,,1
瀬戸,セト,福山市,芦田川,瀬戸川,砂防課,福山市瀬戸町長和嫁田４３７－１,34.4835,133.33333333333334,,1
南松永,ミナミマツナガ,福山市,藤井川,藤井川,砂防課,福山市南松永町４丁目３０,34.429805555555554,133.25083333333333,,1
羽高,ハダカ,府中市,芦田川,御調川,砂防課,府中市諸毛町羽高３０００,34.56052777777777,133.16611111111112,,1
大浦,オオウラ,福山市,その他,沿岸部,砂防課,福山市内海町大浦乙７８１,34.36877777777778,133.30694444444447,,1
田尻,タジリ,福山市,芦田川,論田川,砂防課,福山市田尻町,34.419666666666664,133.37416666666667,,1
山野,ヤマノ,福山市,高梁川,小田川,砂防課,福山市山野町山野,34.65402777777778,133.39138888888888,,1
古市,フルイチ,福山市,芦田川,中溝川,砂防課,福山市神辺町大字川北,34.54655555555556,133.38777777777776,,1
二森,フタモリ,府中市,江の川,上下川,河川課,府中市上下町二森字下陰地２０－１地先,34.70263888888889,133.13694444444442,,1
神石町,ジンセキチョウ,神石高原町,高梁川,高光川,河川課,神石郡神石高原町高光２５５９　神石高原町役場神石支所内,34.80027777777777,133.1675,,1
川南,カワミナミ,神石高原町,芦田川,矢多田川,砂防課,神石郡神石高原町高蓋１６０２－２,34.67411111111111,133.20555555555555,,1
油木安田,ユキヤスダ,神石高原町,高梁川,安田川,砂防課,神石郡神石高原町安田字行司向,34.766666666666666,133.27555555555557,,1
下豊松,シモトヨマツ,神石高原町,高梁川,仁吾川,砂防課,神石郡神石高原町下豊松４２９,34.775083333333335,133.3402777777778,,1
梶山田,カジヤマダ,尾道市,本郷川,小原川,河川課,尾道市原田町梶山田６６番地,34.49527777777778,133.20138888888889,,1
三原支所,ミハラシショ,三原市,沼田川,沼田川,河川課,三原市円一町２－４－１　東部建設事務所三原支所内,34.39361111111111,133.0675,,1
甲原,キネハラ,三原市,沼田川,天井川,河川課,三原市小泉町甲原甲原橋東詰,34.36944444444445,132.9675,,1
本谷,ホンタニ,三原市,沼田川,善入寺川,河川課,三原市本郷町本谷観音寺前,34.42472222222222,132.91666666666666,,1
菅川橋,スゲカワバシ,三原市,沼田川,菅川,河川課,三原市本郷町大字船木字佐用沖２５１３番地先,34.42944444444444,132.96777777777777,,1
高尾,タカオ,尾道市,芦田川,御調川,砂防課,尾道市御調町高尾,34.517944444444446,133.13694444444442,,1
美之郷,ミノゴウ,尾道市,藤井川,藤井川,河川課,尾道市美ノ郷町中野寺前橋西詰,34.44777777777777,133.15055555555557,,1
因島,インノシマ,尾道市,その他,沿岸部,河川課,尾道市因島土生町７－４　尾道市役所因島総合支所内,34.294444444444444,133.16694444444443,,1
和木,ワギ,三原市,沼田川,椋梨川,砂防課,三原市大和町和木４５０番地内,34.508916666666664,132.92222222222222,,1
西野,ニシノ,三原市,単独河川,西野川,砂防課,三原市西野町大西,34.40577777777778,133.0588888888889,,1
末光,スエミツ,三原市,沼田川,天井川,砂防課,三原市沼田東町末光,34.37744444444444,133.0277777777778,,1
須波,スナミ,三原市,その他,沿岸部,砂防課,三原市鷺浦町須波,34.3525,133.1011111111111,,0
外浦,トノウラ,尾道市,その他,沿岸部,砂防課,尾道市因島外浦町９３３－１,34.33072222222223,133.18666666666667,,1
林,ハヤシ,尾道市,その他,沿岸部,砂防課,尾道市瀬戸田町林１３３０－４,34.30497222222222,133.1052777777778,,1
吉田,ヨシダ,三原市,芦田川,大谷川,砂防課,三原市久井町吉田３８５－４,34.54819444444444,133.06694444444443,,1
有井,アリイ,尾道市,その他,沿岸部,砂防課,尾道市向島町有井,34.38161111111111,133.18333333333334,,1
黒川,クロガワ,世羅町,江の川,美波羅川,砂防課,世羅郡世羅町大字黒川５２７－１７,34.6435,132.89805555555554,,1
安田,ヤスダ,世羅町,江の川,水別川,河川課,世羅郡世羅町大字安田字五反田２８９７地先,34.638333333333335,133.00055555555556,,1
別迫,ベッサコ,世羅町,芦田川,砂田川,砂防課,世羅郡世羅町大字別迫字北垣内１１３５番地,34.625638888888886,133.06972222222223,,1
野間川ダム,ノマガワダム,三原市,芦田川,野間川,"河川課
ダムG",三原市久井町吉田,34.529444444444444,133.06666666666666,,1
北部建設,ホクブケンセツ,三次市,江の川,北溝川,河川課,三次市十日市東４－６－１　北部建設事務所内,34.80472222222222,132.85083333333333,,1
上壱,カミイチ,三次市,江の川,美波羅川,河川課,三次市三和町上壱２７６８－３地先,34.65083333333333,132.8511111111111,,1
三次石原,ミヨシイシハラ,三次市,江の川,美波羅川,河川課,三次市石原町４８－１地先,34.72555555555556,132.88472222222222,,1
南畑敷,ミナミハタジキ,三次市,江の川,馬洗川,砂防課,三次市南畑敷町３５４,34.80672222222222,132.875,,1
青河,アオガ,三次市,江の川,小似川,砂防課,三次市青河町原田,34.76141666666667,132.81944444444443,,1
櫃田,ヒツタ,三次市,江の川,神野瀬川,砂防課,三次市君田町櫃田６８－６,34.95,132.82666666666665,,1
東入君,ヒガシイリギミ,三次市,江の川,神野瀬川,砂防課,三次市君田町東入君字大柳３７１－２,34.87713888888889,132.85805555555555,,1
横谷,ヨコタニ,三次市,江の川,中郷川,砂防課,三次市布野町横谷字瀬戸７７４－１,34.923361111111106,132.75583333333333,,1
ゆめランド,ユメランド,三次市,江の川,布野川,砂防課,三次市布野町下布野字大谷６６１－１,34.85502777777778,132.79749999999999,,1
敷地,シキジ,三次市,江の川,矢井川,砂防課,三次市吉舎町敷地字小林２２４７－２,34.74738888888889,132.96527777777777,,1
仁賀,ニカ,三次市,江の川,仮屋谷川,砂防課,三次市三良坂町仁賀字仁賀１３６２－１,34.79130555555555,132.9775,,1
作木西野,サクギニシノ,三次市,江の川,作木川,砂防課,三次市作木町西野字本郷１７５－４,34.900083333333335,132.73805555555555,,1
甲奴本郷,コウヌホンゴウ,三次市,江の川,上下川,砂防課,三次市甲奴町本郷字トン迫９１７番地,34.70097222222223,133.0836111111111,,1
竹地谷,タケチダニ,庄原市,江の川,竹地川,砂防課,庄原市口和町竹地谷字中本谷１９３－５,34.9405,132.87861111111113,,1
永田,ナガタ,庄原市,江の川,湯木川,砂防課,庄原市口和町永田字宮沖甲９,34.894083333333334,132.92666666666665,,1
中領家,ナカリョウケ,庄原市,江の川,田総川,砂防課,庄原市総領町中領家字小迫５５１－１,34.79430555555555,133.10055555555556,,1
庄原支所,ショウバラシショ,庄原市,江の川,戸郷川,河川課,庄原市東本町１－４－１　北部建設事務所庄原支所内,34.85944444444445,133.01666666666668,,1
川北,カワキタ,庄原市,江の川,大津恵川,砂防課,庄原市川北町上重行１４３１－３,34.92922222222222,133.04055555555556,,1
戸郷川,トゴウガワ,庄原市,江の川,戸郷川,砂防課,庄原市板橋町字西原沖５０－１,34.85,133.0013888888889,,1
本村町,ホンムラチョウ,庄原市,江の川,本村川,砂防課,庄原市本村町中山,34.87652777777778,133.12055555555557,,1
西城中野,サイジョウナカノ,庄原市,江の川,西城川,砂防課,庄原市西城町中野字網立６５０－８,34.94605555555555,133.11972222222224,,1
比和,ヒワ,庄原市,江の川,比和川,河川課,庄原市比和町大字比和１１１９－１地先　,34.983333333333334,132.98333333333332,,1
高暮,コウボ,庄原市,江の川,神野瀬川,砂防課,庄原市高野町高暮字中組５３９,35.017583333333334,132.83138888888888,,1
新市,シンイチ,庄原市,江の川,神野瀬川,砂防課,庄原市高野町新市字柏奥１７７－１,35.03647222222222,132.91472222222222,,1
川東,カワヒガシ,庄原市,高梁川,福代川,砂防課,庄原市東城町川東２２３,34.90061111111111,133.27972222222223,,1
小瀬川ダム,オゼガワダム,廿日市市,小瀬川,小瀬川,"河川課
ダムG",廿日市市浅原字前中山１０３０－２７,34.30888888888889,132.11722222222224,,1
栗栖,クリス,廿日市市,小瀬川,小瀬川,"河川課
ダムG",廿日市市栗栖字小浜２７１－４,34.375,132.1338888888889,,1
魚切ダム,ウオキリダム,広島市佐伯区,八幡川,八幡川,"河川課
ダムG",広島市佐伯区五日市町大字上河内上山之内トチガ谷９９８－７,34.42833333333333,132.31777777777776,,1
重光,シゲミツ,広島市佐伯区,八幡川,八幡川,"河川課
ダムG",広島市佐伯区湯来町大字白砂字下重光９７９－７,34.429805555555554,132.2861111111111,,1
後畑,ウシロハタ,廿日市市,八幡川,木末川,"河川課
ダムG",廿日市市大字原字北後畑２３７６－２,34.404444444444444,132.30055555555558,,1
野呂川ダム,ノロガワ,呉市,野呂川,野呂川,"河川課
ダムG",呉市安浦町大字中畑６４１－１１,34.28911111111111,132.7097222222222,,1
椋梨ダム,ムクナシダム,東広島市,沼田川,椋梨川,"河川課
ダムG",東広島市河内町大字小田字内ヶ平１４７０－３,34.50252777777778,132.89305555555555,,1
下徳良,シモトクラ,三原市,沼田川,徳良川,"河川課
ダムG",三原市大和町大字下徳良字陰地５３－１,34.54033333333333,132.95138888888889,,1
造賀,ソウガ,東広島市,沼田川,造賀川,"河川課
ダムG",東広島市高屋町大字造賀甲１９－１４,34.48527777777778,132.7511111111111,,1
乃美,ノミ,東広島市,沼田川,椋梨川,"河川課
ダムG",東広島市豊栄町大字鍛冶屋字仲山３４１,34.56805555555556,132.81777777777776,,1
福富ダム,フクトミダム,東広島市,沼田川,谷河内川,"河川課
ダムG",東広島市福富町久芳,34.530277777777776,132.7675,,1
甲山,コウザン,世羅町,芦田川,芦田川,農業基盤課,世羅郡世羅町西上原宮田垣内１０７－１,34.584722222222226,133.05055555555558,,1
三川,ミカワ,世羅町,芦田川,芦田川,農業基盤課,世羅郡世羅町伊尾城ヶ平６６５－４,34.615,133.10055555555556,,1
賀茂,カモ,世羅町,芦田川,芦田川,農業基盤課,世羅郡世羅町賀茂正田２６６０－１,34.57888888888889,132.9675,,1
七社,ナナヤシロ,福山市,芦田川,芦田川,農業基盤課,福山市駅家町下山守３７８－２,34.528055555555554,133.33416666666668,,1
四川,シカワ,福山市,芦田川,四川,"河川課
ダムG",福山市加茂町字北山,34.599722222222226,133.3336111111111,,1
御調,ミツギ,尾道市,芦田川,御調川,"河川課
ダムG",尾道市御調町大字津蟹字西垣内１２７－３　監視制御所,34.50138888888889,133.0675,,1
江木,エギ,三原市,芦田川,御調川,"河川課
ダムG",三原市久井町大字江木字石田１４１３－５,34.54333333333333,133.01805555555558,,1
山田川ダム,ヤマダガワダム,世羅町,芦田川,砂田川,"河川課
ダムG",世羅郡世羅町別迫,34.63666666666666,133.06722222222223,,1
梶毛ダム,カジケダム,広島市佐伯区,八幡川,梶毛川,"河川課
ダムG",広島市佐伯区五日市町大字石内,34.44083333333333,132.3675,,1
庄原ダム,ショウバラダム,庄原市,江の川,大戸川,"河川課
ダムG",庄原市川西町上川西,34.902499999999996,133.06722222222223,,1
八坂,ハッサカ,廿日市市,その他,沿岸部,砂防課,廿日市市八坂１－１２,34.26833333333333,132.23444444444442,,1
中山,ナカヤマ,廿日市市,その他,沿岸部,砂防課,廿日市市大野２１３－１,34.321111111111115,132.2836111111111,,1
矢草北,ヤグサキタ,廿日市市,その他,沿岸部,砂防課,廿日市市大野２７３４－１,34.33416666666667,132.26694444444445,,1
矢草南,ヤグサミナミ,廿日市市,その他,沿岸部,砂防課,廿日市市大野２７２５－１０,34.32777777777778,132.2511111111111,,1
奴メリ谷,ヌメリタニ,廿日市市,その他,沿岸部,砂防課,廿日市市大野１９７２－１３４,34.295833333333334,132.20027777777776,,1
戸山(国),トヤマ,広島市安佐南区,太田川,吉山川,国土交通省,広島市安佐南区沼田町阿戸字大原51-3,34.48166666666667,132.35027777777776,,1
大林(国),オオバヤシ,広島市安佐北区,太田川,根谷川,国土交通省,広島市安佐北区可部町大林字下毛山2137-2,34.56111111111111,132.55055555555558,,1
